[Logger] The timestamp is: 12745
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Souce: socket task | HEARTBEAT from weather
Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

Souce: socket task | HEARTBEAT from weather
Source : socket task | HUMIDITY : 16 

Source : socket task | TEMPERATURE : 26 

Source : socket task | HEARTBEAT from pedometer
Source : socket task | PEDOMEER : 0 

